Date,nom_ar,nom_fr,unite,valeur
2026-01-05 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 01:00:00,Humidité relative,Humidité relative,%,66.3
2026-01-05 01:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.3
2026-01-05 01:00:00,Direction du vent,Direction du vent,Deg,307.0
2026-01-05 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 01:00:00,Vitesse du vent,Vitesse du vent,m/s,0.85
2026-01-05 01:00:00,Point de Rosée,Point de Rosée,°C,6.9
2026-01-05 00:00:00,Point de Rosée,Point de Rosée,°C,6.7
2026-01-05 00:00:00,Vitesse du vent,Vitesse du vent,m/s,0.41
2026-01-05 00:00:00,Direction du vent,Direction du vent,Deg,294.7
2026-01-05 00:00:00,Température,Température,°C,13.5
2026-01-05 00:00:00,Humidité relative,Humidité relative,%,63.4
2026-01-05 00:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 00:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.0
2026-01-05 00:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,3.41
2026-01-04 23:00:00,Humidité relative,Humidité relative,%,58.8
2026-01-04 23:00:00,Direction du vent,Direction du vent,Deg,279.4
2026-01-04 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,3.41
2026-01-04 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-04 23:00:00,Vitesse du vent,Vitesse du vent,m/s,0.11
2026-01-04 23:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.8
2026-01-04 23:00:00,Point de Rosée,Point de Rosée,°C,6.2
2026-01-04 23:00:00,Température,Température,°C,14.2
2026-01-04 22:00:00,Point de Rosée,Point de Rosée,°C,4.4
2026-01-04 22:00:00,Humidité relative,Humidité relative,%,51.9
2026-01-04 22:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,3.41
2026-01-04 22:00:00,Température,Température,°C,14.2
2026-01-04 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-04 22:00:00,Direction du vent,Direction du vent,Deg,81.0
2026-01-04 22:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.4
2026-01-04 22:00:00,Vitesse du vent,Vitesse du vent,m/s,0.79
2026-01-04 21:00:00,Point de Rosée,Point de Rosée,°C,3.8
2026-01-04 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,3.41
2026-01-04 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1003.3
2026-01-04 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-04 21:00:00,Humidité relative,Humidité relative,%,49.0
2026-01-04 21:00:00,Température,Température,°C,14.4
2026-01-04 21:00:00,Direction du vent,Direction du vent,Deg,274.6
2026-01-04 21:00:00,Vitesse du vent,Vitesse du vent,m/s,2.43
2026-01-04 20:00:00,Point de Rosée,Point de Rosée,°C,5.2
2026-01-04 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,3.41
2026-01-04 20:00:00,Direction du vent,Direction du vent,Deg,139.6
2026-01-04 20:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.6
2026-01-04 20:00:00,Température,Température,°C,15.5
2026-01-04 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-04 20:00:00,Humidité relative,Humidité relative,%,50.2
2026-01-04 20:00:00,Vitesse du vent,Vitesse du vent,m/s,1.85
2026-01-04 19:00:00,Vitesse du vent,Vitesse du vent,m/s,0.61
2026-01-04 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,3.41
2026-01-04 19:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1003.3
2026-01-04 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-04 19:00:00,Point de Rosée,Point de Rosée,°C,5.3
2026-01-04 19:00:00,Humidité relative,Humidité relative,%,55.4
2026-01-04 19:00:00,Température,Température,°C,14.1
2026-01-04 19:00:00,Direction du vent,Direction du vent,Deg,199.4
2026-01-04 18:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,3.41
2026-01-04 18:00:00,Humidité relative,Humidité relative,%,53.6
2026-01-04 18:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-04 18:00:00,Température,Température,°C,14.4
2026-01-04 18:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1003.6
2026-01-04 18:00:00,Direction du vent,Direction du vent,Deg,189.3
2026-01-04 18:00:00,Point de Rosée,Point de Rosée,°C,5.1
2026-01-04 18:00:00,Vitesse du vent,Vitesse du vent,m/s,0.89
2026-01-04 17:00:00,Point de Rosée,Point de Rosée,°C,4.9
2026-01-04 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,3.41
2026-01-04 17:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1003.3
2026-01-04 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,5.0
2026-01-04 17:00:00,Vitesse du vent,Vitesse du vent,m/s,0.31
2026-01-04 17:00:00,Humidité relative,Humidité relative,%,49.5
2026-01-04 17:00:00,Température,Température,°C,15.4
